"","Date","Year","Month","ADM1_PCODE","Pop0_19","cases0_19","pred.mean","pred.median","pred.lci","pred.uci"
"1",2010-01-01,2010,1,"PE16",446868,51,100.656,53,1,465.1
"2",2010-01-01,2010,1,"PE17",61776,31,33.677,17.5,0,150.05
"3",2010-01-01,2010,1,"PE20",738144,74,95.641,49.5,0,425.05
"4",2010-01-01,2010,1,"PE22",342603,19,107.168,47,0,613.15
"5",2010-01-01,2010,1,"PE24",87342,24,12.083,6,0,55.025
"6",2010-01-01,2010,1,"PE25",235480,18,36.55,18,0,178.05
"7",2010-02-01,2010,2,"PE16",446868,38,66.309,36.5,0,330.125
"8",2010-02-01,2010,2,"PE17",61776,21,25.63,13.5,0,118.075
"9",2010-02-01,2010,2,"PE20",738144,114,202.947,102,1,1038.075
"10",2010-02-01,2010,2,"PE22",342603,5,111.921,46,0,601.025
"11",2010-02-01,2010,2,"PE24",87342,44,18.237,10,0,84.025
"12",2010-02-01,2010,2,"PE25",235480,7,26.156,13,0,136.075
"13",2010-03-01,2010,3,"PE16",446868,31,60.76,33,0,272.05
"14",2010-03-01,2010,3,"PE17",61776,37,23.393,12,0,106.025
"15",2010-03-01,2010,3,"PE20",738144,467,318.412,157,3,1421.525
"16",2010-03-01,2010,3,"PE22",342603,16,92.303,41,0,501.025
"17",2010-03-01,2010,3,"PE24",87342,69,26.944,16,0,121.075
"18",2010-03-01,2010,3,"PE25",235480,1,16.364,9,0,82.025
"19",2010-04-01,2010,4,"PE16",446868,25,40.382,21.5,0,213
"20",2010-04-01,2010,4,"PE17",61776,30,25.179,14,0,122.125
"21",2010-04-01,2010,4,"PE20",738144,1341,441.478,230.5,2,2189.75
"22",2010-04-01,2010,4,"PE22",342603,12,65.437,27,0,373.3
"23",2010-04-01,2010,4,"PE24",87342,77,40.608,23,0,173.05
"24",2010-04-01,2010,4,"PE25",235480,3,10.129,4,0,51.025
"25",2010-05-01,2010,5,"PE16",446868,23,29.534,16,0,141.05
"26",2010-05-01,2010,5,"PE17",61776,55,16.764,10,0,72.025
"27",2010-05-01,2010,5,"PE20",738144,594,517.839,283,2,2276.225
"28",2010-05-01,2010,5,"PE22",342603,7,56.675,24,0,285.05
"29",2010-05-01,2010,5,"PE24",87342,132,46.175,27.5,0,203.125
"30",2010-05-01,2010,5,"PE25",235480,9,6.225,3,0,29.025
"31",2010-06-01,2010,6,"PE16",446868,23,20.428,11,0,101
"32",2010-06-01,2010,6,"PE17",61776,28,12.997,7.5,0,59.05
"33",2010-06-01,2010,6,"PE20",738144,99,407.11,206,2,2148.525
"34",2010-06-01,2010,6,"PE22",342603,2,49.785,21,0,273.175
"35",2010-06-01,2010,6,"PE24",87342,46,56.436,30,0,263.05
"36",2010-06-01,2010,6,"PE25",235480,3,6.847,3,0,34
"37",2010-07-01,2010,7,"PE16",446868,20,13.563,7,0,62
"38",2010-07-01,2010,7,"PE17",61776,14,9.212,5,0,42
"39",2010-07-01,2010,7,"PE20",738144,22,239.916,123.5,1,1222.45
"40",2010-07-01,2010,7,"PE22",342603,4,63.005,28,0,378.549999999999
"41",2010-07-01,2010,7,"PE24",87342,38,39.373,23,0,179.175
"42",2010-07-01,2010,7,"PE25",235480,1,6.55,3,0,31.025
"43",2010-08-01,2010,8,"PE16",446868,18,12.33,7,0,56.025
"44",2010-08-01,2010,8,"PE17",61776,10,6.449,4,0,29
"45",2010-08-01,2010,8,"PE20",738144,3,169.097,78,0,815.3
"46",2010-08-01,2010,8,"PE22",342603,0,58.33,26,0,328.025
"47",2010-08-01,2010,8,"PE24",87342,9,26.172,16,0,110.025
"48",2010-08-01,2010,8,"PE25",235480,0,6.903,3,0,38.025
"49",2010-09-01,2010,9,"PE16",446868,10,15.351,8,0,77.025
"50",2010-09-01,2010,9,"PE17",61776,15,8.064,5,0,36.025
"51",2010-09-01,2010,9,"PE20",738144,3,108.458,57,0,548.225
"52",2010-09-01,2010,9,"PE22",342603,0,58.382,26,0,314.075
"53",2010-09-01,2010,9,"PE24",87342,8,21.744,11,0,104.075
"54",2010-09-01,2010,9,"PE25",235480,1,10.269,4,0,51.025
"55",2010-10-01,2010,10,"PE16",446868,15,23.333,13,0,98
"56",2010-10-01,2010,10,"PE17",61776,94,12.055,7,0,51.025
"57",2010-10-01,2010,10,"PE20",738144,1,84.843,41,0,429.15
"58",2010-10-01,2010,10,"PE22",342603,6,48.887,20,0,298.225
"59",2010-10-01,2010,10,"PE24",87342,12,14.867,8,0,73.025
"60",2010-10-01,2010,10,"PE25",235480,0,18.785,9.5,0,93.05
"61",2010-11-01,2010,11,"PE16",446868,37,42.674,24,0,180.1
"62",2010-11-01,2010,11,"PE17",61776,232,25.417,14,0,117
"63",2010-11-01,2010,11,"PE20",738144,0,79.553,37.5,0,423.025
"64",2010-11-01,2010,11,"PE22",342603,4,73.658,32.5,0,387.025
"65",2010-11-01,2010,11,"PE24",87342,6,11.466,6,0,54
"66",2010-11-01,2010,11,"PE25",235480,2,39.188,18,0,179.025
"67",2010-12-01,2010,12,"PE16",446868,155,46.81,25,0,221.025
"68",2010-12-01,2010,12,"PE17",61776,72,31.704,20,0,129.075
"69",2010-12-01,2010,12,"PE20",738144,0,82.977,39,0,451
"70",2010-12-01,2010,12,"PE22",342603,4,93.776,40,0,505.025
"71",2010-12-01,2010,12,"PE24",87342,1,10.466,6,0,46.05
"72",2010-12-01,2010,12,"PE25",235480,2,53.287,25,0,313.125
"73",2011-01-01,2011,1,"PE16",446868,5860,368.5,194,1,1689.625
"74",2011-01-01,2011,1,"PE17",61776,76,24.288,14,0,106.075
"75",2011-01-01,2011,1,"PE20",738144,1,40.919,20.5,0,207
"76",2011-01-01,2011,1,"PE22",342603,162,204.834,96.5,1,1098.475
"77",2011-01-01,2011,1,"PE24",87342,6,1.937,1,0,9
"78",2011-01-01,2011,1,"PE25",235480,23,194.604,101,1,1030.025
"79",2011-02-01,2011,2,"PE16",446868,3282,426.301,237,3,1838.925
"80",2011-02-01,2011,2,"PE17",61776,96,16.609,10,0,73.025
"81",2011-02-01,2011,2,"PE20",738144,23,67.32,33,0,331.125
"82",2011-02-01,2011,2,"PE22",342603,262,178.991,84,1,825.674999999999
"83",2011-02-01,2011,2,"PE24",87342,7,3.522,2,0,16
"84",2011-02-01,2011,2,"PE25",235480,40,127.408,67,1,583.849999999999
"85",2011-03-01,2011,3,"PE16",446868,1181,465.788,257,2,2071.1
"86",2011-03-01,2011,3,"PE17",61776,61,17.321,10,0,85
"87",2011-03-01,2011,3,"PE20",738144,5,152.504,69,0.975000000000001,808.425
"88",2011-03-01,2011,3,"PE22",342603,121,187.238,94.5,1,939.3
