"","Date","Year","Month","ADM1_PCODE","PopTotal","cases_total","pred.mean","pred.median","pred.lci","pred.uci"
"1",2010-01-01,2010,1,"PE16",981899,159,362.688,177.5,2,1840.125
"2",2010-01-01,2010,1,"PE17",161203,149,131.538,72.5,0,579.175
"3",2010-01-01,2010,1,"PE20",1929969,224,324.704,156,0.975000000000001,1773.05
"4",2010-01-01,2010,1,"PE22",862467,61,397.143,160,2,2175.85
"5",2010-01-01,2010,1,"PE24",234701,54,31.397,17,0,149.15
"6",2010-01-01,2010,1,"PE25",548999,32,141.425,64,0,655.674999999999
"7",2010-02-01,2010,2,"PE16",981899,134,325.1,159.5,1,1623.475
"8",2010-02-01,2010,2,"PE17",161203,105,97.145,54,0,421.05
"9",2010-02-01,2010,2,"PE20",1929969,405,633.232,318,2,3259.675
"10",2010-02-01,2010,2,"PE22",862467,24,400.925,174,1,2204.4
"11",2010-02-01,2010,2,"PE24",234701,120,46.67,23.5,0,219.075
"12",2010-02-01,2010,2,"PE25",548999,19,95.027,45,0,527.025
"13",2010-03-01,2010,3,"PE16",981899,84,250.558,127,1,1214
"14",2010-03-01,2010,3,"PE17",161203,141,94.619,53,0,421.175
"15",2010-03-01,2010,3,"PE20",1929969,1483,1077.257,531.5,3.975,5027.375
"16",2010-03-01,2010,3,"PE22",862467,57,354.642,147.5,1,1827.475
"17",2010-03-01,2010,3,"PE24",234701,171,71.931,39,0,349
"18",2010-03-01,2010,3,"PE25",548999,3,68.482,30,0,366.2
"19",2010-04-01,2010,4,"PE16",981899,79,181.87,88,0,896.125
"20",2010-04-01,2010,4,"PE17",161203,162,88.103,49,0,403.15
"21",2010-04-01,2010,4,"PE20",1929969,4002,1423.11,720.5,9,6520.19999999999
"22",2010-04-01,2010,4,"PE22",862467,39,269.11,111,1,1377.15
"23",2010-04-01,2010,4,"PE24",234701,228,113.571,68,0,472.4
"24",2010-04-01,2010,4,"PE25",548999,14,44.496,20.5,0,219.025
"25",2010-05-01,2010,5,"PE16",981899,106,119.808,64,1,527
"26",2010-05-01,2010,5,"PE17",161203,209,61.76,36,0,275
"27",2010-05-01,2010,5,"PE20",1929969,1815,1702.187,878.5,9,8541.325
"28",2010-05-01,2010,5,"PE22",862467,32,228.685,98.5,1,1183.475
"29",2010-05-01,2010,5,"PE24",234701,316,131.339,71,0,619.05
"30",2010-05-01,2010,5,"PE25",548999,17,27.95,13,0,143.125
"31",2010-06-01,2010,6,"PE16",981899,63,95.253,52,0,459.175
"32",2010-06-01,2010,6,"PE17",161203,130,44.803,25,0,185.05
"33",2010-06-01,2010,6,"PE20",1929969,318,1346.738,615.5,10.975,6563.725
"34",2010-06-01,2010,6,"PE22",862467,18,221.802,99,0,1240.025
"35",2010-06-01,2010,6,"PE24",234701,113,151.979,82,0,742.025
"36",2010-06-01,2010,6,"PE25",548999,10,26.662,12,0,138.05
"37",2010-07-01,2010,7,"PE16",981899,78,66.958,35,0,309.075
"38",2010-07-01,2010,7,"PE17",161203,72,32.87,19,0,143.075
"39",2010-07-01,2010,7,"PE20",1929969,107,726.212,366.5,2.975,3433.975
"40",2010-07-01,2010,7,"PE22",862467,14,224.269,89,1,1181.1
"41",2010-07-01,2010,7,"PE24",234701,93,117.76,57,0,611.05
"42",2010-07-01,2010,7,"PE25",548999,4,27.416,13,0,151.025
"43",2010-08-01,2010,8,"PE16",981899,60,65.816,34,0,318.075
"44",2010-08-01,2010,8,"PE17",161203,46,25.386,14,0,111
"45",2010-08-01,2010,8,"PE20",1929969,15,458.346,210,1,2424.05
"46",2010-08-01,2010,8,"PE22",862467,6,206.625,90,1,1028.025
"47",2010-08-01,2010,8,"PE24",234701,28,77.691,38.5,0,390.075
"48",2010-08-01,2010,8,"PE25",548999,3,25.055,11,0,131.05
"49",2010-09-01,2010,9,"PE16",981899,35,78.575,42,0,400
"50",2010-09-01,2010,9,"PE17",161203,56,28.219,16,0,133.025
"51",2010-09-01,2010,9,"PE20",1929969,13,309.349,156.5,1,1667.775
"52",2010-09-01,2010,9,"PE22",862467,1,188.074,77,1,1283.025
"53",2010-09-01,2010,9,"PE24",234701,16,55.722,31,0,266.05
"54",2010-09-01,2010,9,"PE25",548999,6,37.205,17,0,205.05
"55",2010-10-01,2010,10,"PE16",981899,49,114.842,64,0.975000000000001,498.075
"56",2010-10-01,2010,10,"PE17",161203,469,41.545,23,0,176.125
"57",2010-10-01,2010,10,"PE20",1929969,6,253.696,123,0.975000000000001,1199.175
"58",2010-10-01,2010,10,"PE22",862467,15,182.993,86.5,1,953.849999999999
"59",2010-10-01,2010,10,"PE24",234701,24,40.041,20,0,186.15
"60",2010-10-01,2010,10,"PE25",548999,2,65.84,31,0,342.125
"61",2010-11-01,2010,11,"PE16",981899,110,182.549,94.5,1,865.125
"62",2010-11-01,2010,11,"PE17",161203,1059,82.915,46,1,357.225
"63",2010-11-01,2010,11,"PE20",1929969,3,231.573,119,1,1145.325
"64",2010-11-01,2010,11,"PE22",862467,14,240.138,119.5,1,1190.5
"65",2010-11-01,2010,11,"PE24",234701,12,31.518,18,0,145.025
"66",2010-11-01,2010,11,"PE25",548999,6,133.771,59.5,0,720.275
"67",2010-12-01,2010,12,"PE16",981899,365,210.249,107.5,2,942.1
"68",2010-12-01,2010,12,"PE17",161203,354,104.592,54,0,487.225
"69",2010-12-01,2010,12,"PE20",1929969,2,253.243,130.5,1,1160.95
"70",2010-12-01,2010,12,"PE22",862467,26,290.457,141.5,2,1392.775
"71",2010-12-01,2010,12,"PE24",234701,2,28.55,15,0,135.05
"72",2010-12-01,2010,12,"PE25",548999,5,152.881,73.5,0,833.15
"73",2011-01-01,2011,1,"PE16",981899,10983,1096.956,561.5,4.975,5181.35
"74",2011-01-01,2011,1,"PE17",161203,419,71.04,38.5,0,342.075
"75",2011-01-01,2011,1,"PE20",1929969,10,138.927,63,0,782.35
"76",2011-01-01,2011,1,"PE22",862467,424,545.608,256,2,2681.325
"77",2011-01-01,2011,1,"PE24",234701,11,6.33,3,0,34
