CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
"1100015",Alta Floresta D'Oeste,RO,7067.127
"1100023",Ariquemes,RO,4426.571
"1100031",Cabixi,RO,1314.352
"1100049",Cacoal,RO,3793.000
"1100056",Cerejeiras,RO,2783.300
"1100064",Colorado do Oeste,RO,1451.060
"1100072",Corumbiara,RO,3060.321
"1100080",Costa Marques,RO,4987.177
"1100098",Espigão D'Oeste,RO,4518.038
"1100106",Guajará-Mirim,RO,24856.877
"1100114",Jaru,RO,2944.128
"1100122",Ji-Paraná,RO,6896.649
"1100130",Machadinho D'Oeste,RO,8509.270
"1100148",Nova Brasilândia D'Oeste,RO,1703.008
"1100155",Ouro Preto do Oeste,RO,1969.850
"1100189",Pimenta Bueno,RO,6241.016
"1100205",Porto Velho,RO,34090.952
"1100254",Presidente Médici,RO,1758.465
"1100262",Rio Crespo,RO,1717.640
"1100288",Rolim de Moura,RO,1457.811
"1100296",Santa Luzia D'Oeste,RO,1197.796
"1100304",Vilhena,RO,11699.150
"1100320",São Miguel do Guaporé,RO,7460.117
"1100338",Nova Mamoré,RO,10070.490
"1100346",Alvorada D'Oeste,RO,3029.189
"1100379",Alto Alegre dos Parecis,RO,3958.273
"1100403",Alto Paraíso,RO,2651.822
"1100452",Buritis,RO,3265.809
"1100502",Novo Horizonte do Oeste,RO,843.446
"1100601",Cacaulândia,RO,1961.778
"1100700",Campo Novo de Rondônia,RO,3442.005
"1100809",Candeias do Jamari,RO,6843.868
"1100908",Castanheiras,RO,892.841
"1100924",Chupinguaia,RO,5126.723
"1100940",Cujubim,RO,3863.946
"1101005",Governador Jorge Teixeira,RO,5067.384
"1101104",Itapuã do Oeste,RO,4081.580
"1101203",Ministro Andreazza,RO,798.083
"1101302",Mirante da Serra,RO,1191.875
"1101401",Monte Negro,RO,1931.378
"1101435",Nova União,RO,807.125
"1101450",Parecis,RO,2548.683
"1101468",Pimenteiras do Oeste,RO,6014.733
"1101476",Primavera de Rondônia,RO,605.692
"1101484",São Felipe D'Oeste,RO,541.647
"1101492",São Francisco do Guaporé,RO,10959.767
"1101500",Seringueiras,RO,3773.505
"1101559",Teixeirópolis,RO,459.978
"1101609",Theobroma,RO,2197.413
"1101708",Urupá,RO,831.857
"1101757",Vale do Anari,RO,3135.106
"1101807",Vale do Paraíso,RO,965.676
"1200013",Acrelândia,AC,1811.613
"1200054",Assis Brasil,AC,4979.073
"1200104",Brasiléia,AC,3928.174
"1200138",Bujari,AC,3034.869
"1200179",Capixaba,AC,1705.824
"1200203",Cruzeiro do Sul,AC,8783.470
"1200252",Epitaciolândia,AC,1652.674
"1200302",Feijó,AC,27976.874
"1200328",Jordão,AC,5357.227
"1200336",Mâncio Lima,AC,5451.617
"1200344",Manoel Urbano,AC,10630.600
"1200351",Marechal Thaumaturgo,AC,8190.953
"1200385",Plácido de Castro,AC,1952.555
"1200393",Porto Walter,AC,6446.385
"1200401",Rio Branco,AC,8835.154
"1200427",Rodrigues Alves,AC,3076.342
"1200435",Santa Rosa do Purus,AC,6155.858
"1200450",Senador Guiomard,AC,2320.169
"1200500",Sena Madureira,AC,23759.512
"1200609",Tarauacá,AC,20169.485
"1200708",Xapuri,AC,5350.586
"1200807",Porto Acre,AC,2604.417
"1300029",Alvarães,AM,5923.461
"1300060",Amaturá,AM,4754.109
"1300086",Anamã,AM,2446.121
"1300102",Anori,AM,6036.380
"1300144",Apuí,AM,54240.545
"1300201",Atalaia do Norte,AM,76435.093
"1300300",Autazes,AM,7652.852
"1300409",Barcelos,AM,122461.086
"1300508",Barreirinha,AM,5751.765
"1300607",Benjamin Constant,AM,8695.391
"1300631",Beruri,AM,17472.779
"1300680",Boa Vista do Ramos,AM,2589.407
"1300706",Boca do Acre,AM,21938.583
"1300805",Borba,AM,44236.184
"1300839",Caapiranga,AM,9455.539
"1300904",Canutama,AM,33642.732
"1301001",Carauari,AM,25778.658
"1301100",Careiro,AM,6096.210
"1301159",Careiro da Várzea,AM,2627.474
"1301209",Coari,AM,57970.768
"1301308",Codajás,AM,18700.713
"1301407",Eirunepé,AM,14966.242
"1301506",Envira,AM,7505.794
"1301605",Fonte Boa,AM,12155.427
"1301654",Guajará,AM,7583.534
"1301704",Humaitá,AM,33111.143
"1301803",Ipixuna,AM,12109.779
"1301852",Iranduba,AM,2216.817
"1301902",Itacoatiara,AM,8891.906
"1301951",Itamarati,AM,25260.429
"1302009",Itapiranga,AM,4335.075
"1302108",Japurá,AM,55827.203
"1302207",Juruá,AM,19442.548
"1302306",Jutaí,AM,69457.415
"1302405",Lábrea,AM,68262.680
"1302504",Manacapuru,AM,7336.579
"1302553",Manaquiri,AM,3973.259
"1302603",Manaus,AM,11401.092
"1302702",Manicoré,AM,48315.023
"1302801",Maraã,AM,16830.827
"1302900",Maués,AM,39991.066
"1303007",Nhamundá,AM,14107.040
"1303106",Nova Olinda do Norte,AM,5578.132
"1303205",Novo Airão,AM,37776.770
"1303304",Novo Aripuanã,AM,41179.656
"1303403",Parintins,AM,5956.047
"1303502",Pauini,AM,41624.664
"1303536",Presidente Figueiredo,AM,25459.099
"1303569",Rio Preto da Eva,AM,5815.622
"1303601",Santa Isabel do Rio Negro,AM,62800.078
"1303700",Santo Antônio do Içá,AM,12366.143
"1303809",São Gabriel da Cachoeira,AM,109181.245
"1303908",São Paulo de Olivença,AM,19658.502
"1303957",São Sebastião do Uatumã,AM,10647.463
"1304005",Silves,AM,3723.382
"1304062",Tabatinga,AM,3266.062
"1304104",Tapauá,AM,84946.035
"1304203",Tefé,AM,23692.223
"1304237",Tonantins,AM,6446.894
"1304260",Uarini,AM,10274.677
"1304302",Urucará,AM,27901.962
"1304401",Urucurituba,AM,2886.494
"1400027",Amajari,RR,28473.450
"1400050",Alto Alegre,RR,25454.297
"1400100",Boa Vista,RR,5687.037
"1400159",Bonfim,RR,8079.914
"1400175",Cantá,RR,7664.831
