CD_UF,neighboringState,distance
11,13,773164.9379817104
11,51,787515.3984328646
11,12,857232.5909467591
11,15,1323506.084394915
11,50,1348263.3388305441
11,14,1445772.9065562768
11,52,1540698.5568659313
12,13,853341.2639592794
12,11,857232.5909467591
12,14,1605145.8865034466
12,51,1642971.6286668174
12,15,2009696.370511757
12,50,2080863.5477676168
12,16,2367905.159883544
13,11,773164.9379817104
13,14,779061.803876236
13,12,853341.2639592794
13,15,1285939.671065345
13,51,1366219.0147171586
13,16,1541397.254295911
13,17,1919466.5088163032
14,13,779061.803876236
14,16,1051526.7895282821
14,15,1142528.6231119484
14,11,1445772.9065562768
14,12,1605145.8865034466
14,51,1768032.2877780744
14,21,1957887.5877036832
15,16,612022.5468485453
15,17,859535.5029271359
15,21,872420.3210947637
15,51,1039987.0317154741
15,14,1142528.6231119484
15,22,1181294.2562438964
15,13,1285939.671065345
16,15,612022.5468485453
16,21,1034513.1793332958
16,14,1051526.7895282821
16,17,1342928.34305867
16,22,1397314.94016958
16,13,1541397.254295911
16,23,1551612.012824561
17,53,626887.3378349696
17,21,653754.9613725361
17,22,664399.9605026202
17,52,666772.5928748653
17,29,766004.253186997
17,15,859535.5029271359
17,51,883735.4541774008
21,22,362849.40890116815
21,23,628568.4487724658
21,17,653754.9613725361
21,15,872420.3210947637
21,26,882651.1563246872
21,29,907481.8333471208
21,24,958144.2613921865
22,21,362849.40890116815
22,23,448838.7062771032
22,26,557478.5342529513
22,29,578586.1364918058
22,17,664399.9605026202
22,25,677663.9699067102
22,28,702456.9697709937
23,24,336486.6241984291
23,25,381265.1959019259
23,26,400227.38320306607
23,22,448838.7062771032
23,27,590161.1913916221
23,21,628568.4487724658
23,28,652885.383289107
24,25,142839.42333459613
24,26,311673.00347596
24,23,336486.6241984291
24,27,406357.65953032055
24,28,531396.5638286057
24,22,716203.7436395766
24,29,919275.8165369768
25,24,142839.42333459613
25,26,185282.2018380554
25,27,265560.2779948216
25,23,381265.1959019259
25,28,388683.9544748615
25,22,677663.9699067102
25,29,798293.0785210966
26,25,185282.2018380554
26,27,199963.55492941354
26,28,256680.33910520558
26,24,311673.00347596
26,23,400227.38320306607
26,22,557478.5342529513
26,29,613161.2104483453
27,28,148464.97026452946
27,26,199963.55492941354
27,25,265560.2779948216
27,24,406357.65953032055
27,23,590161.1913916221
27,29,645819.8223503404
27,22,736608.4536374939
28,27,148464.97026452946
28,26,256680.33910520558
28,25,388683.9544748615
28,29,511193.86130666157
28,24,531396.5638286057
28,23,652885.383289107
28,22,702456.9697709937
29,28,511193.86130666157
29,22,578586.1364918058
29,26,613161.2104483453
29,27,645819.8223503404
29,31,732779.9152503798
29,53,751247.3263288995
29,17,766004.253186997
31,32,438833.7502629145
31,53,445262.03546691133
31,33,464943.7054382967
31,52,589946.774916056
31,35,599888.7890840946
31,29,732779.9152503798
31,41,994054.7211157852
32,33,357044.6881515807
32,31,438833.7502629145
32,29,794010.2175213606
32,53,864920.3702772219
32,35,891229.9532665832
32,52,1025647.171495221
32,28,1052938.5050067822
33,32,357044.6881515807
33,31,464943.7054382967
33,35,627121.6763894801
33,53,892584.7254353336
33,41,954666.8344624295
33,42,968902.6117730434
33,52,999808.113561768
35,41,394275.2250691051
35,42,579517.2349265895
35,31,599888.7890840946
35,33,627121.6763894801
35,50,669277.9657724596
35,52,695674.4377587023
35,53,724466.3448824973
41,42,311246.61595996754
41,35,394275.2250691051
41,50,582008.2820722627
41,43,585617.5309591896
41,33,954666.8344624295
41,52,975048.34155812
41,31,994054.7211157852
42,41,311246.61595996754
42,43,388433.44443339825
42,35,579517.2349265895
42,50,887036.9786002563
42,33,968902.6117730434
42,31,1142707.9293616058
42,52,1245094.965262165
43,42,388433.44443339825
43,41,585617.5309591896
43,35,942237.386396488
43,50,1050133.6289187877
43,33,1351847.1146179498
43,31,1524378.2019944568
43,52,1559961.4998881458
50,41,582008.2820722627
50,35,669277.9657724596
50,52,729413.6140988652
50,51,824517.1559377094
50,42,887036.9786002563
50,53,899614.3586503272
50,43,1050133.6289187877
51,52,761206.9541463695
51,11,787515.3984328646
51,50,824517.1559377094
51,17,883735.4541774008
51,53,930483.6385483944
51,15,1039987.0317154741
51,35,1281933.6081617842
52,53,196112.60479294058
52,31,589946.774916056
52,17,666772.5928748653
52,35,695674.4377587023
52,50,729413.6140988652
52,51,761206.9541463695
52,29,937946.1181405599
53,52,196112.60479294058
53,31,445262.03546691133
53,17,626887.3378349696
53,35,724466.3448824973
53,29,751247.3263288995
53,32,864920.3702772219
53,33,892584.7254353336
