CD_UF,distance,neighboringState
11,0.0,11
11,857232.5909467591,12
11,773164.9379817105,13
11,1445772.9065562768,14
11,1323506.084394915,15
11,1822129.2804142851,16
11,1591207.8969418206,17
11,2040222.2122428492,21
11,2219435.2080450626,22
11,2639236.8729339335,23
11,2935366.36644776,24
11,2889810.169985786,25
11,2741708.46933146,26
11,2876439.986919142,27
11,2778108.3420921215,28
11,2309041.374013963,29
11,2126775.671166501,31
11,2564955.9892149717,32
11,2486147.0934726433,33
11,1958260.6551344888,35
11,1927695.389878466,41
11,2224654.1702669896,42
11,2303017.7470266195,43
11,1348263.338830544,50
11,787515.3984328646,51
11,1540698.5568659313,52
11,1716444.363176847,53
12,857232.5909467591,11
12,0.0,12
12,853341.2639592794,13
12,1605145.8865034466,14
12,2009696.3705117572,15
12,2367905.1598835434,16
12,2432414.928339302,17
12,2819514.35978334,21
12,3037144.321328158,22
12,3437969.77567307,23
12,3748094.9922599946,24
12,3713629.7684821426,25
12,3573937.1569439773,26
12,3717379.6496336674,27
12,3624601.7459911034,28
12,3163286.5769164325,29
12,2967462.4416618594,31
12,3406281.3054994475,32
12,3300988.586852104,33
12,2734760.3426238815,35
12,2629586.5649778508,41
12,2899187.5505373897,42
12,2887510.3298344747,43
12,2080863.5477676168,50
12,1642971.6286668174,51
12,2387527.43233813,52
12,2568065.571779205,53
13,773164.9379817105,11
13,853341.2639592794,12
13,0.0,13
13,779061.803876236,14
13,1285939.6710653447,15
13,1541397.254295911,16
13,1919466.5088163032,17
13,2151068.7948629833,21
13,2427968.8565583234,22
13,2779493.523159335,23
13,3107853.7082109544,24
13,3098537.2886356325,25
13,2984398.381806106,26
13,3152346.7678575874,27
13,3084687.733792801,28
13,2685331.3852518247,29
13,2689227.058222696,31
13,3112409.95337621,32
13,3100066.0717390636,33
13,2637911.4176738616,35
13,2661799.914567262,41
13,2966445.624813252,42
13,3068935.038912735,43
13,2080132.017818704,50
13,1366219.0147171586,51
13,2105526.0648481124,52
13,2248399.036237962,53
14,1445772.9065562768,11
14,1605145.8865034466,12
14,779061.803876236,13
14,0.0,14
14,1142528.6231119484,15
14,1051526.7895282821,16
14,1980367.3010040785,17
14,1957887.587703683,21
14,2299004.358228555,22
14,2548166.306278135,23
14,2884174.6492580357,24
14,2911916.5981428875,25
14,2840430.5523563726,26
14,3031018.2750457525,27
14,2999962.4878550004,28
14,2705173.3954433785,29
14,2918006.595417737,31
14,3296915.2507280647,32
14,3370490.372284436,33
14,3023966.3376096,35
14,3138828.510435286,41
14,3450073.1170541407,42
14,3620211.504603178,43
14,2578852.017814489,50
14,1768032.2877780744,51
14,2386321.8595777727,52
14,2478242.6521676383,53
15,1323506.084394915,11
15,2009696.3705117572,12
15,1285939.6710653447,13
15,1142528.6231119484,14
15,0.0,15
15,612022.5468485453,16
15,859535.5029271359,17
15,872420.3210947637,21
15,1181294.2562438964,22
15,1498131.183934414,23
15,1830247.4075042775,24
15,1832293.2344642503,25
15,1735984.3526022402,26
15,1917828.7964035189,27
15,1873068.6588809083,28
15,1563005.1393432473,29
15,1844213.561897862,31
15,2189087.6782185743,32
15,2308075.9418912097,33
15,2076815.9153677328,35
15,2291480.1295908,41
15,2590462.936788219,42
15,2847198.8667506007,43
15,1818553.1798037933,50
15,1039987.0317154739,51
15,1386650.2358449625,52
15,1427867.874249103,53
16,1822129.2804142851,11
16,2367905.1598835434,12
16,1541397.254295911,13
16,1051526.7895282821,14
16,612022.5468485453,15
16,0.0,16
16,1342928.34305867,17
16,1034513.1793332958,21
16,1397314.94016958,22
16,1551612.0128245607,23
16,1880881.557968522,24
16,1929284.4637746026,25
16,1889569.455810562,26
16,2088255.5872097882,27
16,2087016.6521854475,28
16,1910297.828845705,29
16,2341104.9966731695,31
16,2632238.1875205226,32
16,2804123.242946289,33
16,2646293.762871474,35
16,2885895.8796723364,41
16,3179216.142909935,42
16,3449566.7655374752,43
16,2428283.5207603066,50
16,1650088.7525489582,51
16,1950633.4655416794,52
16,1959750.5607627467,53
17,1591207.8969418206,11
17,2432414.928339302,12
17,1919466.5088163032,13
17,1980367.3010040785,14
17,859535.5029271359,15
17,1342928.34305867,16
17,0.0,17
17,653754.9613725361,21
17,664399.9605026202,22
17,1111496.9856417913,23
17,1369901.5861188513,24
17,1308564.270118146,25
17,1152834.0281218747,26
17,1285826.838428545,27
17,1193196.179151427,28
17,766004.253186997,29
17,1000588.6087798378,31
17,1329568.0730326646,32
17,1465193.3262469275,33
17,1342558.9212217098,35
17,1641820.6373683885,41
17,1907431.1711422808,42
17,2226617.923929496,43
17,1325880.5317316242,50
17,883735.4541774008,51
17,666772.5928748652,52
17,626887.3378349696,53
21,2040222.2122428492,11
21,2819514.35978334,12
21,2151068.7948629833,13
21,1957887.587703683,14
21,872420.3210947637,15
21,1034513.1793332958,16
21,653754.9613725361,17
21,0.0,21
21,362849.40890116815,22
21,628568.4487724658,23
21,958144.2613921866,24
21,962773.0337412293,25
21,882651.1563246872,26
21,1075100.6638769822,27
21,1058015.5864807859,28
21,907481.8333471209,29
21,1481592.6281805467,31
21,1680898.5916930477,32
21,1916240.5969861192,33
21,1938769.4159329284,35
21,2268878.167330153,41
21,2516025.787694648,42
21,2854192.0140835214,43
21,1979635.1187235361,50
21,1457008.147090139,51
21,1301833.288178625,52
21,1216472.5325415821,53
22,2219435.2080450626,11
22,3037144.321328158,12
22,2427968.8565583234,13
22,2299004.358228555,14
22,1181294.2562438964,15
22,1397314.94016958,16
22,664399.9605026202,17
22,362849.40890116815,21
22,0.0,22
22,448838.7062771032,23
22,716203.7436395765,24
22,677663.9699067102,25
22,557478.5342529513,26
22,736608.4536374939,27
22,702456.9697709937,28
22,578586.1364918058,29
22,1237580.9197676315,31
22,1370953.0751631437,32
22,1639326.1405960086,33
22,1759250.832966786,35
