system:index,CD_MUN,Municipality_Area,max_elevation,mean_elevation,min_elevation,stdDev_elevation,variance_elevation,.geo
1200013,1200013,1.8190279886143253E9,234,165.31329375414032,108,19.03336218398454,362.2688760267327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200054,1200054,4.999082705688803E9,429,304.0915945138746,193,33.22996801355136,1104.2307741816464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200104,1200104,3.9439757403227077E9,359,273.7425753066297,180,27.959676361731052,781.7435022527421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200138,1200138,3.047379165199096E9,262,189.11207529711228,139,17.000066147993763,289.00224903616356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200179,1200179,1.7127274761854007E9,253,197.18358284578986,134,20.994992680822122,440.7897176677745,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200203,1200203,8.82066339800601E9,518,224.95557558768058,148,27.648893097751635,764.461289530898,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200252,1200252,1.6592958735520406E9,310,242.52602944074187,167,26.609894115894267,708.0864648591044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200302,1200302,2.8093482422318687E10,462,250.16606209685855,138,48.70150527491241,2371.836616042321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200328,1200328,5.379415610840141E9,462,329.3536081780496,215,39.16297384321748,1533.7385202445366,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200336,1200336,5.474947933837299E9,761,256.3584547496614,173,49.189132513823225,2419.570757462461,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200344,1200344,1.0674479645994293E10,351,232.99223167300534,121,36.18812243704349,1309.5802055184504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200351,1200351,8.224937735767648E9,410,281.9083209647913,203,27.451045068303873,753.5598753420504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200385,1200385,1.9604913987200823E9,249,179.89990829288027,119,24.072308133820716,579.4760188896109,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200393,1200393,6.473436078499051E9,487,244.84898433462016,170,24.558427141825838,603.116343680368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200401,1200401,8.871166838051931E9,337,208.3498663332456,120,34.328349158851886,1178.4355559720468,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200427,1200427,3.0893822857687283E9,633,249.49810733328883,160,40.278719821358955,1622.3752704475346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200435,1200435,6.181310102083613E9,355,251.13364624567467,162,30.393937451542058,923.791433808251,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200450,1200450,2.3296604387684755E9,248,176.76867821014338,126,18.613507608590783,346.46266549506703,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200500,1200500,2.385704396081368E10,374,230.80176644878304,119,39.15647695524468,1533.2296875466077,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200609,1200609,2.0254604938349567E10,398,252.21147644715475,151,34.07231509325957,1160.9226558143637,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200708,1200708,5.372227399961761E9,330,227.15485162369595,148,29.47329508129018,868.6751229488037,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200807,1200807,2.6151474029705887E9,235,172.30375003297925,112,18.314393740975095,335.4170180994677,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700102,2700102,4.701691307520941E8,787,371.12559804571373,224,112.98627424853889,12765.898168566044,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700201,2700201,1.868989409764074E8,415,190.33336744265907,95,56.06481361527559,3143.263325715591,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700300,2700300,3.4707419205565447E8,431,243.07382366559176,144,35.774762648521644,1279.8336425580592,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700409,2700409,5.354530361903732E8,535,141.56842637611237,7,55.3543922927912,3064.1087461042225,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700508,2700508,1.3190831593118927E8,128,43.81218038922618,-7,28.702020891261647,823.8060032424199,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700607,2700607,7.455171386816789E7,103,53.6865315655485,-1,34.37757956087286,1181.8179764641436,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700706,2700706,3.17164205237581E8,265,163.63175106813273,74,30.61377841406207,937.2034287852928,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700805,2700805,6.690227345839126E7,559,314.42885254496184,223,72.27549657956129,5223.747405822177,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700904,2700904,3.355069702606859E8,457,133.4835931055175,3,65.14181692468487,4243.456312249161,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701001,2701001,1.937975370929699E8,398,142.65340451121295,19,38.39060326084063,1473.838418731267,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701100,2701100,1.687440112164116E8,589,231.07494580449074,89,106.45182904781151,11331.991907624488,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701209,2701209,2.82852586041568E8,569,249.84165289492555,183,38.020514609256075,1445.5595311526547,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701308,2701308,9.474492081551449E7,436,155.3496410521605,89,48.84119872082015,2385.462692486644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701357,2701357,6.618570943459181E7,264,137.53077188547394,37,29.497216192146325,870.0857630862193,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701407,2701407,3.140098696753585E8,198,146.44408792463608,18,29.87923203025841,892.7685067180203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701506,2701506,1.7083986127391165E8,376,153.27109908834484,67,39.14594245760196,1532.4048108938841,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701605,2701605,6.052832552813758E8,700,363.4298022468782,241,59.72638113903434,3567.240603965197,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701704,2701704,2.64826764328274E8,439,186.61288272638214,65,70.84389464800826,5018.857408898093,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701803,2701803,1.0227257225837134E8,464,330.64424791805766,238,42.2833386691543,1787.8807290103994,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701902,2701902,1.5848420747290993E8,856,438.67870894665,291,79.83128392890632,6373.033893737656,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702009,2702009,8.91247830737582E7,488,261.4748086187242,158,57.46410360026265,3302.1232025817194,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702108,2702108,2.088010500003519E8,584,306.27181142081383,97,108.5445020017848,11781.908914815465,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702207,2702207,3.976970307633003E7,101,45.93340361576204,-6,38.592793300929934,1489.403694768302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702306,2702306,9.014723904503021E8,138,63.981544460764084,-7,31.559583333420843,996.0073001791346,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702355,2702355,2.8002643570117277E8,363,233.56514120711938,155,30.803135256484122,948.8331416292551,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702405,2702405,6.311433149960628E8,407,254.5838824943065,135,37.8050815332799,1429.2241897379413,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702504,2702504,1.422062444776934E8,551,264.38554729627043,180,36.32791352437532,1319.7173010344911,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702553,2702553,2.6184995169180757E8,731,299.2412844621862,187,55.04978158763013,3030.4784528457812,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702603,2702603,1.7662476858348638E8,330,198.6347264409304,92,42.823409613384634,1833.8444109157233,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702702,2702702,1.1050888067614803E8,64,24.312950059032055,-4,18.061268821127804,326.2094314290434,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702801,2702801,3.3513804470775837E8,561,168.17518994514995,68,86.00756536229748,7397.301299549874,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702900,2702900,5.1555870111279595E8,476,223.3683902376207,57,57.247256874692695,3277.2484196770497,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703007,2703007,2.66416822989772E8,637,492.77524200962773,312,53.26028525078924,2836.6579849954373,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703106,2703106,3.357223212687538E8,519,251.41729036902092,174,32.69257207699895,1068.8042690097714,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703205,2703205,4.282760914326687E8,189,63.60048014356209,-7,43.32077819629278,1876.689823532396,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703304,2703304,3.735551866249681E8,676,313.2981300735339,200,64.9120311300193,4213.571785424595,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703403,2703403,1.4960371629422218E8,260,160.06228325900986,56,32.458141244521315,1053.5309330492958,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703502,2703502,2.096082228829272E8,195,112.5080342713822,18,31.161599716226057,971.0452968742999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703601,2703601,8.57118826035434E7,102,37.114510188318796,1,21.388045114846424,457.44847383470596,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703700,2703700,1.0584861887660831E8,234,176.24369094363658,129,18.76644701086867,352.17953341174166,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703759,2703759,3.356207826772988E8,134,66.21171141464545,-5,35.96089428016941,1293.185917429521,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703809,2703809,2.9940940618686086E8,584,236.83322086071436,45,110.89968575021216,12298.74029949581,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703908,2703908,8.91643201275035E7,234,116.75810461041105,18,35.3640598155527,1250.6167266379894,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704005,2704005,2.4873726306788E8,307,170.71301231341477,49,38.00669785865708,1444.5090821192484,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704104,2704104,8.396371705877496E7,422,271.25301182809835,180,29.73392185561817,884.106108916008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704203,2704203,3.104750075057034E8,341,204.03276569725662,99,34.737075452159665,1206.6644109690335,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704302,2704302,5.114175849746986E8,289,62.00647576137321,-11,38.09752310960527,1451.4212670869076,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704401,2704401,4.4457137259811944E8,436,203.83158485939,118,26.594842803997032,707.2856637693128,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704500,2704500,3.355567463480105E8,159,65.20171285285909,0,37.53959145598628,1409.2209266823584,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704609,2704609,3.337441770481801E8,823,342.53607582719224,243,64.10455374974339,4109.3938114537395,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704708,2704708,3.4238087182216763E8,121,49.32615452551127,-11,39.677041032724645,1574.267585112515,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704807,2704807,1.8084620354032737E8,515,262.7389432115713,115,92.00047427440532,8464.087266715514,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704906,2704906,9.211897422969407E7,619,444.8381746928609,197,70.5301014469076,4974.495210111077,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705002,2705002,9.185254599058663E8,846,454.4740927302611,310,91.57418441705467,8385.831251648739,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705101,2705101,2.3910142079311815E8,340,93.40194103370865,5,50.84594221853957,2585.309840091065,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705200,2705200,1.1462796661371651E8,501,130.28212943690662,66,23.34862276095382,545.1581848333308,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705309,2705309,1.6815299988373193E8,606,294.27042623590614,225,60.241624805445824,3629.0533592001057,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705408,2705408,8.696058609318906E7,354,230.20978494333426,161,33.301513644935326,1108.990811043814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705507,2705507,4.1975950816848296E8,638,191.3960102101473,63,115.7302837680356,13393.498581030044,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705606,2705606,2.1644333656793073E8,461,160.1926683077118,81,56.340063138268576,3174.2027144240897,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705705,2705705,1.9244777261210653E8,526,268.31580767855473,143,69.04020732234123,4766.550227111859,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705804,2705804,3.2903185255527866E8,527,267.9152719181545,138,42.38977997376232,1796.893446223981,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705903,2705903,1.1748382734267059E8,360,118.7899984915118,13,45.40481349156342,2061.597088203659,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706000,2706000,1.7603962684796956E8,364,234.46944338167083,142,38.655107619915356,1494.2173451072383,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706109,2706109,1.9737815123574746E8,514,377.75244355930465,290,28.037268961147284,786.088450799713,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706208,2706208,3.8346466273934856E7,207,157.47495522837184,57,20.962067401026566,439.4082697251807,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706307,2706307,4.52852161910983E8,737,366.22148856218735,227,113.7814776308191,12946.224651852586,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706406,2706406,6.917015446887054E8,635,149.56811001086533,1,71.5074716820076,5113.318506353119,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706422,2706422,2.557721606030125E8,752,364.5279076743708,253,94.27718755424218,8888.060418270445,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706448,2706448,9.317165931053391E7,108,43.27809254436951,0,20.857760021251288,435.0461531041085,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706505,2706505,2.5233073425889754E8,262,41.17702027660215,-5,31.05895000122027,964.6583751783006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706604,2706604,1.1894823564192875E8,619,420.9391342275422,288,63.7885603457932,4068.9804309889005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706703,2706703,6.912513934302721E8,147,53.60531664538846,-26,38.59569400436007,1489.627595678196,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706802,2706802,2.446737230859061E8,42,7.129817366183926,-16,4.188407659649849,17.542758723413527,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706901,2706901,2.606845536868969E8,228,94.59895294282956,-9,52.574559446591046,2764.084301003136,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707008,2707008,1.1757055361966556E8,547,351.46702873767856,122,70.07805701782225,4910.9340753931465,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707107,2707107,4.0565975939321035E8,535,216.24173977241637,-3,54.06475288068991,2922.9975040500676,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707206,2707206,2.85438569291096E8,759,386.9953805174248,237,88.27432181919889,7792.3558926394935,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707305,2707305,3.1453175499247915E8,184,54.061594348307445,0,35.195905723937194,1238.751779728275,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707404,2707404,2.5817553782137725E8,134,49.21559779246771,-4,30.53624195399634,932.4620726730062,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707503,2707503,2.3681289572630098E8,362,76.51571844176017,-5,65.26842863373768,4259.967776317309,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707602,2707602,3.211510801645729E8,894,485.74441276193215,313,104.8776310840568,10999.317501803518,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707701,2707701,2.950282480361334E8,240,104.85395564661306,1,42.65427170840408,1819.386894974361,"{""type"":""MultiPoint"",""coordinates"":[]}"
