Date,Year,Month,CD_UF,area_km2,NDVI_d,dewpoint_temperature_2m_d,humidity_d,max_temperature_2m_d,min_temperature_2m_d,surface_pressure_d,temperature_2m_d,total_precipitation_d,u_component_of_wind_10m_d,v_component_of_wind_10m_d,max_elevation_d,mean_elevation_d,min_elevation_d,stdDev_elevation_d,variance_elevation_d,Pop0_19_Urban_UF,PopTotal_Urban_UF,Pop0_19_Rural_UF,PopTotal_Rural_UF,Pop0_19_UF,PopTotal_UF,cases_total,cases0_19,cases20_99,Forest_Cover_Percent,Urban_Cover_Percent,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,t_sem_agua_esgoto,t_sem_lixo,t_vulner_mais1h,t_analf_15m,t_cdom_fundin,t_p15a24_nada,t_vulner,t_desocup18m,t_p18m_fundin_informal,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,t_pop18m_fundc,idhm_educ_sub_freq,renda_per_capita,pea10a14,pea15a17,pea18m,t_eletrica,t_densidadem2,rdpc_def_vulner,t_analf_18m,t_formal_18m,t_fundc_ocup18m,t_medioc_ocup18m
2001-01-01,2001,1,11,237765.34699999998,0.15430089142933703,295.6749802023473,88.46030803477046,303.9872160853003,294.1550146396128,98872.99071378318,297.7102078767852,2.8575862268379506,0.04335866687104615,-0.7773815069167666,499.5749256436695,197.73051198793806,94.78054529895822,49.347550913745934,2936.506225905438,423582,1149180,156693,413229,580275,1562409,668,169,499,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93
2001-01-01,2001,1,12,164173.43099999995,0.1681450265472713,295.5425028931982,88.48791032295931,304.1240598519205,294.19940625239366,98582.53179155011,297.56955503756643,2.552414628239656,0.25188126780668085,-0.9646890039497992,376.5254846576758,221.03575193104783,134.591442542454,32.614629283625916,1110.6190483548264,222201,532279,102012,201280,324213,733559,1280,315,965,99.47359971761001,0.09622201115707561,0.443,0.36,0.564,0.405,28.09,6.37,5.04,16.48,41.14,17.41,50.97,7.46,43.75,0.663,0.777,0.559,0.671,0.488,48.8,0.599,522.15,9054,11629,283968,91.14,46.05,119.68,17.79,46.45,55.2,39.61
2001-01-01,2001,1,13,1559167.8779999998,0.13926929245578526,295.83319989913156,89.79407574335343,302.98656199050816,294.78773548393946,100308.79461253257,297.62206127077104,3.6272968360213653,-0.8127327903823837,-0.3928148365740787,225.84921203736525,73.23644733163516,-1.2478377490144188,32.67217403973415,1385.171272552527,1143830,2755490,376977,728495,1520807,3483985,7034,2099,4935,99.94362715224783,0.03548340111202974,0.488,0.515,0.516,0.433,20.98,7.02,14.12,9.84,33.69,17.09,51.78,9.55,39.68,0.674,0.805,0.561,0.677,0.549,54.87,0.567,539.8,43891,57371,1371781,92.18,57.95,117.5,10.47,44.56,60.21,44.01
2001-01-01,2001,1,14,223644.527,0.2601503297638832,291.35127713337823,59.91634029807906,306.34573455244157,294.5596110628068,99530.9687794367,299.9718557273328,0.2987226412100555,-2.601422032231856,-1.3025433152201138,744.4676599797104,141.3412813073238,49.928329622468524,65.15235055449573,12694.573314144332,142324,344859,53544,105620,195868,450479,810,235,575,99.67382312761363,0.08342744554214587,0.366,0.245,0.483,0.37,12.44,3.32,5.88,10.33,28.92,15.71,45.72,7.6,35.56,0.707,0.809,0.628,0.695,0.587,58.74,0.65,605.59,5441,8041,184044,90.73,51.22,115.71,11.01,47.99,66.08,50.44
2001-01-01,2001,1,15,1240882.4709999992,0.14370355259098075,295.54689031778753,88.44151358845636,303.06277496942226,294.6563831832352,100189.28440980804,297.5851231496519,4.078932174198032,-0.9628122073577263,-0.7140476464559734,240.00480368750982,85.23887023346992,14.166811963143369,35.33005717101935,2730.5914495309544,2023361,5191559,1118217,2389492,3141578,7581051,2464,726,1738,99.32298549359729,0.042289831910926654,0.469,0.457,0.494,0.457,29.05,8.08,8.59,11.74,40.81,18.4,55.99,9.03,46.68,0.646,0.789,0.528,0.646,0.474,47.35,0.557,446.76,88495,126117,2992002,91.89,49.4,122.69,12.58,37.38,52.11,34.22
2001-01-01,2001,1,16,142470.76199999996,0.09950964422307171,295.28632825789714,90.40867449357185,301.94664792445946,294.38829408648553,100639.66254900245,296.95266419127773,4.632696442921771,-1.0853958561862318,-1.3598235914872834,202.9764833628567,47.532481136414084,-7.485522593596066,29.766024436344384,1518.2972287230468,259566,601036,35568,68490,295134,669526,7,1,6,99.86216883371777,0.041913022896286796,0.404,0.373,0.451,0.388,21.51,3.62,8.5,8.4,24.29,16.02,45.22,11.49,32.55,0.708,0.813,0.629,0.694,0.618,61.75,0.634,598.98,6109,10381,280616,98.27,53.98,132.64,9.09,49.11,66.72,50.87
2001-01-01,2001,1,17,277423.63000000006,0.2733427657997426,294.5222262062647,80.79108814760966,304.2640121013035,293.76275208521963,97755.36756203833,298.06362593282387,2.65925122349803,-0.265099148678285,-0.31047542985939885,587.5561370347212,299.4218280338077,180.92446392881538,73.75689968828037,7767.269100846347,420392,1090106,116899,293339,537291,1383445,1103,263,840,99.25492740873668,0.03065694360649091,0.336,0.212,0.418,0.378,8.07,5.65,5.27,13.09,30.3,14.32,44.71,6.9,40.72,0.699,0.793,0.624,0.69,0.526,52.55,0.68,586.62,11961,26098,594351,94.74,31.22,137.04,14.14,47.16,61.15,45.29
2001-01-01,2001,1,21,329651.49499999976,0.17918762504658717,295.42061013857915,84.68547320638808,304.34919038062213,294.68275363444695,99989.13026132158,298.1864978948746,2.5501285684970614,-1.097460257442755,-0.7114186012761694,211.2221847727737,101.63754559409205,32.43830957921235,31.49335058592494,1546.5824176034332,1618690,4147149,1097637,2427640,2716327,6574789,1039,328,711,99.51371184904801,0.10805893765496616,0.521,0.526,0.534,0.503,23.99,20.92,9.9,20.87,42.56,21.56,63.58,8.56,50.99,0.639,0.757,0.562,0.612,0.444,44.36,0.632,360.34,69132,100920,2424519,96.1,42.7,113.11,22.51,33.2,51.08,35.2
2001-01-01,2001,1,22,251755.4849999999,0.2744199241105113,294.0841509587223,75.76538448898197,305.50177588804286,294.37742517849483,98604.38546129766,298.7774062497674,1.8044606111948416,-0.8227061043334837,-0.07808653662308264,389.4001635475057,220.67607581761996,118.37551180748855,51.18343214453598,3640.8073919441676,711794,2050959,420110,1067401,1131904,3118360,441,117,324,99.41300746291189,0.07547420107572557,0.403,0.265,0.471,0.474,8.15,12.39,5.81,22.92,44.37,18.45,58.13,7.81,52.4,0.646,0.777,0.547,0.635,0.418,41.81,0.625,416.93,28190,44583,1250474,93.01,31.44,120.32,24.55,36.52,48.54,33.38
2001-01-01,2001,1,23,148894.4419999999,0.21460589065691582,293.4273066186553,68.61811265462079,305.82982923114827,295.27794122176726,99052.62862097034,299.8079473389039,0.7364212933167439,-3.222531516482761,0.11760943190445675,507.94047594399734,191.00574819087635,86.95849441713524,65.58484311972003,8477.525195146949,2199210,6346557,835881,2105824,3035091,8452381,1846,385,1461,98.57948908160004,0.4075654120595953,0.378,0.263,0.438,0.434,10.99,6.44,6.37,18.74,33.99,19.63,54.85,7.56,45.64,0.682,0.793,0.615,0.651,0.488,48.83,0.691,460.63,66645,127830,3462563,99.08,34.13,128.56,20.14,41.62,56.88,39.66
