system:index,CD_MUN,LC_Type1,Municipality_Area,.geo
1200013,1200013,2987815.515625,1.8190279886143253E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200054,1200054,2916746.275735294,4.999082705688803E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200104,1200104,4034841.2860906865,3.9439757403227077E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200138,1200138,1493877.25,3.047379165199096E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200179,1200179,2738943.5625,1.7127274761854007E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200203,1200203,1.5764339188909315E7,8.82066339800601E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200252,1200252,3078868.226348039,1.6592958735520406E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200302,1200302,3236347.28125,2.8093482422318687E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200328,1200328,1244837.640625,5.379415610840141E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200336,1200336,5572371.171262255,5.474947933837299E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200344,1200344,1244805.859375,1.0674479645994293E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200351,1200351,1244816.78125,8.224937735767648E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200385,1200385,6434621.8545955885,1.9604913987200823E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200393,1200393,1244757.265625,6.473436078499051E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200401,1200401,7.892738478125E7,8.871166838051931E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200427,1200427,2558740.831127451,3.0893822857687283E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200435,1200435,0.0,6.181310102083613E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200450,1200450,6224657.546875,2.3296604387684755E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200500,1200500,7219995.78125,2.385704396081368E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200609,1200609,3236345.96875,2.0254604938349567E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200708,1200708,3485950.40625,5.372227399961761E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1200807,1200807,3734660.625,2.6151474029705887E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700102,2700102,0.0,4.701691307520941E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700201,2700201,0.0,1.868989409764074E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700300,2700300,1.8687027569178924E7,3.4707419205565447E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700409,2700409,3236646.125,5.354530361903732E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700508,2700508,2240744.4375,1.3190831593118927E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700607,2700607,2217382.359375,7.455171386816789E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700706,2700706,0.0,3.17164205237581E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700805,2700805,0.0,6.690227345839126E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2700904,2700904,0.0,3.355069702606859E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701001,2701001,995904.65625,1.937975370929699E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701100,2701100,0.0,1.687440112164116E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701209,2701209,497943.1875,2.82852586041568E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701308,2701308,0.0,9.474492081551449E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701357,2701357,0.0,6.618570943459181E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701407,2701407,2100208.0375,3.140098696753585E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701506,2701506,344668.02996323525,1.7083986127391165E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701605,2701605,497932.71875,6.052832552813758E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701704,2701704,3676958.024632353,2.64826764328274E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701803,2701803,845532.3688725489,1.0227257225837134E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2701902,2701902,0.0,1.5848420747290993E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702009,2702009,746927.671875,8.91247830737582E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702108,2702108,0.0,2.088010500003519E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702207,2702207,497951.8125,3.976970307633003E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702306,2702306,746961.609375,9.014723904503021E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702355,2702355,1314206.4160539214,2.8002643570117277E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702405,2702405,7535533.165441177,6.311433149960628E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702504,2702504,746913.875,1.422062444776934E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702553,2702553,497942.6875,2.6184995169180757E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702603,2702603,1396247.332904412,1.7662476858348638E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702702,2702702,0.0,1.1050888067614803E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702801,2702801,155237.94503676472,3.3513804470775837E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2702900,2702900,2462461.1526960786,5.1555870111279595E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703007,2703007,1493780.90625,2.66416822989772E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703106,2703106,3471972.4464460784,3.357223212687538E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
