"","Name","UF","Year","Month","date","totalcase","case0to19","time"
"10","11 Rondônia",11,2001,1,"2001-01-01",668,169,1
"32","12 Acre",12,2001,1,"2001-01-01",1280,315,1
"56","13 Amazonas",13,2001,1,"2001-01-01",7034,2099,1
"76","14 Roraima",14,2001,1,"2001-01-01",810,235,1
"92","15 Pará",15,2001,1,"2001-01-01",2464,726,1
"96","16 Amapá",16,2001,1,"2001-01-01",7,1,1
"126","17 Tocantins",17,2001,1,"2001-01-01",1103,263,1
"148","21 Maranhão",21,2001,1,"2001-01-01",1039,328,1
"166","22 Piauí",22,2001,1,"2001-01-01",441,117,1
"184","23 Ceará",23,2001,1,"2001-01-01",1846,385,1
"207","24 Rio Grande do Norte",24,2001,1,"2001-01-01",2001,421,1
"210","25 Paraíba",25,2001,1,"2001-01-01",45,23,1
"243","26 Pernambuco",26,2001,1,"2001-01-01",899,232,1
"252","27 Alagoas",27,2001,1,"2001-01-01",165,46,1
"279","28 Sergipe",28,2001,1,"2001-01-01",229,50,1
"295","29 Bahia",29,2001,1,"2001-01-01",2125,560,1
"312","31 Minas Gerais",31,2001,1,"2001-01-01",2627,575,1
"331","32 Espírito Santo",32,2001,1,"2001-01-01",884,166,1
"355","33 Rio de Janeiro",33,2001,1,"2001-01-01",3148,723,1
"368","35 São Paulo",35,2001,1,"2001-01-01",1417,283,1
"384","41 Paraná",41,2001,1,"2001-01-01",54,9,1
"400","42 Santa Catarina",42,2001,1,"2001-01-01",1,0,1
"423","43 Rio Grande do Sul",43,2001,1,"2001-01-01",11,3,1
"444","50 Mato Grosso do Sul",50,2001,1,"2001-01-01",276,45,1
"457","51 Mato Grosso",51,2001,1,"2001-01-01",157,32,1
"477","52 Goiás",52,2001,1,"2001-01-01",743,175,1
"507","53 Distrito Federal",53,2001,1,"2001-01-01",400,99,1
"523","11 Rondônia",11,2001,2,"2001-02-01",275,68,2
"545","12 Acre",12,2001,2,"2001-02-01",242,73,2
"569","13 Amazonas",13,2001,2,"2001-02-01",6569,2075,2
"589","14 Roraima",14,2001,2,"2001-02-01",368,81,2
"605","15 Pará",15,2001,2,"2001-02-01",3817,1125,2
"609","16 Amapá",16,2001,2,"2001-02-01",17,5,2
"639","17 Tocantins",17,2001,2,"2001-02-01",697,164,2
"661","21 Maranhão",21,2001,2,"2001-02-01",975,329,2
"679","22 Piauí",22,2001,2,"2001-02-01",952,253,2
"697","23 Ceará",23,2001,2,"2001-02-01",3398,688,2
"720","24 Rio Grande do Norte",24,2001,2,"2001-02-01",3838,892,2
"723","25 Paraíba",25,2001,2,"2001-02-01",291,64,2
"756","26 Pernambuco",26,2001,2,"2001-02-01",1050,260,2
"765","27 Alagoas",27,2001,2,"2001-02-01",190,34,2
"792","28 Sergipe",28,2001,2,"2001-02-01",225,45,2
"808","29 Bahia",29,2001,2,"2001-02-01",3663,1032,2
"825","31 Minas Gerais",31,2001,2,"2001-02-01",4573,974,2
"844","32 Espírito Santo",32,2001,2,"2001-02-01",1197,233,2
"868","33 Rio de Janeiro",33,2001,2,"2001-02-01",6069,1423,2
"881","35 São Paulo",35,2001,2,"2001-02-01",3130,718,2
"897","41 Paraná",41,2001,2,"2001-02-01",271,51,2
"913","42 Santa Catarina",42,2001,2,"2001-02-01",2,0,2
"936","43 Rio Grande do Sul",43,2001,2,"2001-02-01",4,1,2
"957","50 Mato Grosso do Sul",50,2001,2,"2001-02-01",534,121,2
"970","51 Mato Grosso",51,2001,2,"2001-02-01",147,15,2
"990","52 Goiás",52,2001,2,"2001-02-01",1573,337,2
"1020","53 Distrito Federal",53,2001,2,"2001-02-01",220,49,2
"1036","11 Rondônia",11,2001,3,"2001-03-01",173,37,3
"1058","12 Acre",12,2001,3,"2001-03-01",114,55,3
"1082","13 Amazonas",13,2001,3,"2001-03-01",2947,853,3
"1102","14 Roraima",14,2001,3,"2001-03-01",137,36,3
"1118","15 Pará",15,2001,3,"2001-03-01",4030,1254,3
"1122","16 Amapá",16,2001,3,"2001-03-01",89,27,3
"1152","17 Tocantins",17,2001,3,"2001-03-01",579,161,3
"1174","21 Maranhão",21,2001,3,"2001-03-01",1283,379,3
"1192","22 Piauí",22,2001,3,"2001-03-01",1355,332,3
"1210","23 Ceará",23,2001,3,"2001-03-01",4889,1008,3
"1233","24 Rio Grande do Norte",24,2001,3,"2001-03-01",5966,1344,3
"1236","25 Paraíba",25,2001,3,"2001-03-01",705,177,3
"1269","26 Pernambuco",26,2001,3,"2001-03-01",1259,343,3
"1278","27 Alagoas",27,2001,3,"2001-03-01",726,182,3
"1305","28 Sergipe",28,2001,3,"2001-03-01",366,83,3
"1321","29 Bahia",29,2001,3,"2001-03-01",5708,1692,3
"1338","31 Minas Gerais",31,2001,3,"2001-03-01",7842,1727,3
"1357","32 Espírito Santo",32,2001,3,"2001-03-01",1349,310,3
"1381","33 Rio de Janeiro",33,2001,3,"2001-03-01",9231,1975,3
"1394","35 São Paulo",35,2001,3,"2001-03-01",9122,1895,3
"1410","41 Paraná",41,2001,3,"2001-03-01",592,121,3
"1426","42 Santa Catarina",42,2001,3,"2001-03-01",6,0,3
"1449","43 Rio Grande do Sul",43,2001,3,"2001-03-01",4,1,3
"1470","50 Mato Grosso do Sul",50,2001,3,"2001-03-01",1427,333,3
"1483","51 Mato Grosso",51,2001,3,"2001-03-01",168,39,3
"1503","52 Goiás",52,2001,3,"2001-03-01",2329,562,3
"1533","53 Distrito Federal",53,2001,3,"2001-03-01",209,39,3
