ADM0_EN,ADM0_PCODE,ADM1_ES,ADM1_PCODE,ADM2_ES,ADM2_PCODE,Shape_Area
Peru,PE,Amazonas,PE01,Luya,PE0105,0.270251536911
Peru,PE,Amazonas,PE01,Rodriguez de Mendoza,PE0106,0.211061693381
Peru,PE,Amazonas,PE01,Utcubamba,PE0107,0.325419422749
Peru,PE,Amazonas,PE01,Bagua,PE0102,0.47236043683
Peru,PE,Amazonas,PE01,Bongara,PE0103,0.231318089538
Peru,PE,Amazonas,PE01,Chachapoyas,PE0101,0.237710433667
Peru,PE,Amazonas,PE01,Condorcanqui,PE0104,1.4552407335
Peru,PE,Ancash,PE02,Huaraz,PE0201,0.206462246361
Peru,PE,Ancash,PE02,Huari,PE0210,0.229706272581
Peru,PE,Ancash,PE02,Huarmey,PE0211,0.323154339384
Peru,PE,Ancash,PE02,Huaylas,PE0212,0.187993223015
Peru,PE,Ancash,PE02,Mariscal Luzuriaga,PE0213,0.060507368097
Peru,PE,Ancash,PE02,Ocros,PE0214,0.157857041078
Peru,PE,Ancash,PE02,Aija,PE0202,0.0573120269798
Peru,PE,Ancash,PE02,Pallasca,PE0215,0.169653860516
Peru,PE,Ancash,PE02,Pomabamba,PE0216,0.0756997172371
Peru,PE,Ancash,PE02,Recuay,PE0217,0.191808871915
Peru,PE,Ancash,PE02,Santa,PE0218,0.326629133041
Peru,PE,Ancash,PE02,Sihuas,PE0219,0.11955558998
Peru,PE,Ancash,PE02,Yungay,PE0220,0.112124766887
Peru,PE,Ancash,PE02,Antonio Raymondi,PE0203,0.0459721497785
Peru,PE,Ancash,PE02,Asuncion,PE0204,0.043418368456
Peru,PE,Ancash,PE02,Bolognesi,PE0205,0.257943005303
Peru,PE,Ancash,PE02,Carhuaz,PE0206,0.0669312599757
Peru,PE,Ancash,PE02,Carlos Fermin Fitzcarrald,PE0207,0.0515610529828
Peru,PE,Ancash,PE02,Casma,PE0208,0.186973710576
Peru,PE,Ancash,PE02,Corongo,PE0209,0.0833750987634
Peru,PE,Apurimac,PE03,Abancay,PE0301,0.288841635973
Peru,PE,Apurimac,PE03,Grau,PE0307,0.17809595508
Peru,PE,Apurimac,PE03,Andahuaylas,PE0302,0.337396721238
Peru,PE,Apurimac,PE03,Antabamba,PE0303,0.270622859982
Peru,PE,Apurimac,PE03,Aymaraes,PE0304,0.345890237898
Peru,PE,Apurimac,PE03,Chincheros,PE0306,0.125911614955
Peru,PE,Apurimac,PE03,Cotabambas,PE0305,0.219173813421
Peru,PE,Arequipa,PE04,Islay,PE0407,0.325640616181
Peru,PE,Arequipa,PE04,La Union,PE0408,0.411271364812
Peru,PE,Arequipa,PE04,Arequipa,PE0401,0.81692295844
Peru,PE,Arequipa,PE04,Camana,PE0402,0.338103233689
Peru,PE,Arequipa,PE04,Caraveli,PE0403,1.09652855601
Peru,PE,Arequipa,PE04,Castilla,PE0404,0.583188714331
Peru,PE,Arequipa,PE04,Caylloma,PE0405,1.18652766256
Peru,PE,Arequipa,PE04,Condesuyos,PE0406,0.577077294311
Peru,PE,Ayacucho,PE05,Huamanga,PE0501,0.254732977132
Peru,PE,Ayacucho,PE05,Huanca Sancos,PE0503,0.237468737313
Peru,PE,Ayacucho,PE05,Huanta,PE0504,0.322516687892
Peru,PE,Ayacucho,PE05,La Mar,PE0505,0.352485689187
Peru,PE,Ayacucho,PE05,Lucanas,PE0506,1.21421093185
Peru,PE,Ayacucho,PE05,Parinacochas,PE0507,0.499382594421
Peru,PE,Ayacucho,PE05,Paucar del Sara Sara,PE0508,0.175142094553
Peru,PE,Ayacucho,PE05,Sucre,PE0509,0.149410860269
Peru,PE,Ayacucho,PE05,Victor Fajardo,PE0510,0.189364313888
Peru,PE,Ayacucho,PE05,Vilcas Huaman,PE0511,0.0984207306552
Peru,PE,Ayacucho,PE05,Cangallo,PE0502,0.156151785529
Peru,PE,Cajamarca,PE06,Jaen,PE0608,0.413262476371
Peru,PE,Cajamarca,PE06,San Ignacio,PE0609,0.390397717792
Peru,PE,Cajamarca,PE06,San Marcos,PE0610,0.110759164976
Peru,PE,Cajamarca,PE06,San Miguel,PE0611,0.20746082009
Peru,PE,Cajamarca,PE06,San Pablo,PE0612,0.0544135627829
Peru,PE,Cajamarca,PE06,Santa Cruz,PE0613,0.112913297383
Peru,PE,Cajamarca,PE06,Hualgayoc,PE0607,0.0644116442112
