Date,Year,Month,ADM1_PCODE,area_km2,NDVI_d,dewpoint_temperature_2m_d,humidity_d,max_temperature_2m_d,min_temperature_2m_d,surface_pressure_d,temperature_2m_d,total_precipitation_d,u_component_of_wind_10m_d,v_component_of_wind_10m_d,max_elevation_d,mean_elevation_d,min_elevation_d,stdDev_elevation_d,variance_elevation_d,PopTotal,Pop0_19,Pop20_99,PopTotal_Urban,PopTotal_Rural,cases_total,cases0_19,cases20_99,Forest_Cover_Percent,Urban_Cover_Percent,WaterSupply_PublicNetworkInside,WaterSupply_PublicNetworkBuilding,WaterSupply_PoolPublicUse,WaterSupply_Tanker,WaterSupply_Well,WaterSupply_Aqueduct,WaterSupply_RiverLake,WaterSupply_Other,WaterSupply_Closeby,WithElectricity,WithoutElectricity,rur_prov,urb_prov,urbrur_prov,Hygienic_PublicNetworkInside,Hygienic_PublicNetworkBuilding,Hygienic_SepticTank,Hygienic_Latrine,Hygienic_Well,Hygienic_RiverLake,Hygienic_OpenField,Hygienic_Other,HouseType_Independent,HouseType_Flat,HouseType_Farm,HouseType_HoodAlley,HouseType_Hut,HouseType_Improvised,HouseType_NonHumanHabitation,HouseType_Other,HouseType_Collective
2010-01-01,2010,1,PE16,376591.7743138637,0.2528355568381922,296.33737868434105,84.17934829286249,306.3708025932765,294.9353271323925,98882.01862873948,299.22611906623865,1.6643021010029835,-0.32098102774141213,-0.3810835670105423,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,159,51,108,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-02-01,2010,2,PE16,376591.7743138637,0.20880566197534486,297.39232520762397,89.21895125212563,306.46297834720224,295.9492876643389,98829.63866016932,299.30950658691887,2.427561223083989,-0.2658871978070897,-0.14866054732474615,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,134,38,96,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-03-01,2010,3,PE16,376591.7743138637,0.2232918113728907,297.3413891305266,88.7730632875413,306.6405557549146,295.84089581401366,98915.79988662095,299.34167349479804,2.992130452877005,-0.2466629454812128,-0.10529452658187367,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,84,31,53,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-04-01,2010,4,PE16,376591.7743138637,0.24036776356442596,296.93217083095703,89.19987650539144,305.9594074790335,295.3676366089401,99012.54944768945,298.84714840374636,3.031469496083888,-0.23588680901447787,0.11489430974812337,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,79,25,54,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-05-01,2010,5,PE16,376591.7743138637,0.23303111770220822,296.23318546878755,88.49203685456935,305.0502200595787,293.2284510408044,99103.47068576972,298.27032811013515,2.5790885940212553,-0.18606133604729813,0.1862668955800495,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,106,23,83,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-06-01,2010,6,PE16,376591.7743138637,0.23913120688000708,296.06238031944787,90.65158798586667,304.0561854522436,293.7995169179991,99289.20123313511,297.6950816131523,1.7633641122674724,-0.15551999014438306,0.10958930583239607,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,63,23,40,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-07-01,2010,7,PE16,376591.7743138637,0.3209256727891194,295.3577829150251,88.3059556549978,304.0533716161323,291.3753835311347,99254.36179658442,297.4180850834456,1.1245865543660887,-0.13797982952143834,-0.005171746644150863,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,78,20,58,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-08-01,2010,8,PE16,376591.7743138637,0.4300796843246339,295.638736576256,84.97199713390984,305.55536229879203,293.32478792057407,99211.09404439676,298.36007209316887,0.7160829139031979,0.023820064286167945,-0.17864191159503237,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,60,18,42,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-09-01,2010,9,PE16,376591.7743138637,0.4075979794049662,296.6573225067712,86.3064836231823,306.38356077300267,294.6336029239349,98999.68699312225,299.12950083871135,1.0954936706505038,-0.11128090202170629,-0.307467955378221,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,35,10,25,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-10-01,2010,10,PE16,376591.7743138637,0.32132623510914415,296.67374325420235,86.2888642954886,306.70698518076586,294.823127626782,98924.8990910128,299.1439064935538,1.7836788854846846,-0.14794592531628187,-0.37798276350811505,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,49,15,34,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
2010-11-01,2010,11,PE16,376591.7743138637,0.2867467809979225,296.38507726552797,88.26145236585732,305.3685000202729,294.1654946992038,98805.51321870858,298.4685447185366,2.482685754588388,-0.1130057175571212,-0.5590449815768151,850.9748507738576,178.0802752523051,75.55455296318664,92.12835008555086,17874.714271585737,981899,446868,535031,665892,316005,110,37,73,97.0669048830779,0.033191409510000006,87471,7476,8719,5720,31711,383,42909,3846,1291,142019,47507,0.0,0.0,1.0,68764,11037,7394,27249,30874,8240,33539,2429,205451,518,3779,478,10088,459,235,0,1255
